name,latitude,longitude,kind,shown_in_map,description,municipality,state
"Yakima, WA",46.6021,-120.5059,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Yakima,WA
"Portland, OR",45.5152,-122.6765,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Portland,OR
"Bandon, OR",43.119,-124.4098,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Bandon,OR
"Salt Lake City, UT",40.7608,-111.891,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Salt Lake City,UT
"Ogden, UT",41.223,-111.9738,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Ogden,UT
"El Paso, TX",31.7619,-106.485,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,El Paso,TX
"Albuquerque, NM",35.0844,-106.6504,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Albuquerque,NM
"Las Vegas, NV",36.1699,-115.1398,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Las Vegas,NV
"San Bernardino, CA",34.1083,-117.2898,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,San Bernardino,CA
"San Diego, CA",32.7157,-117.1611,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,San Diego,CA
"Tustin, CA",33.7459,-117.8265,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Tustin,CA
"Riverside, CA",33.9533,-117.3962,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Riverside,CA
"Phoenix, AZ",33.4484,-112.074,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Phoenix,AZ
"Tucson, AZ",32.2226,-110.9747,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Tucson,AZ
"Cheyenne, WY",41.14,-104.8202,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Cheyenne,WY
"Denver, CO",39.7392,-104.9903,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Denver,CO
"Fort Worth, TX",32.7555,-97.3308,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Fort Worth,TX
"San Antonio, TX",29.4241,-98.4936,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,San Antonio,TX
"Laredo, TX",27.5306,-99.5075,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Laredo,TX
"McAllen, TX",26.2034,-98.23,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,McAllen,TX
"Corpus Christi, TX",27.8006,-97.3964,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Corpus Christi,TX
"Harlingen, TX",26.1906,-97.6961,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Harlingen,TX
"Austin, TX",30.2672,-97.7431,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Austin,TX
"Reno, NV",39.5296,-119.8138,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Reno,NV
"Minneapolis, MN",44.9778,-93.265,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Minneapolis,MN
"Des Moines, IA",41.5868,-93.6091,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Des Moines,IA
"Davenport, IA",41.5236,-90.5776,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Davenport,IA
"Omaha, NE",41.2565,-95.9345,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Omaha,NE
"Kansas City, MO",39.0997,-94.5786,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Kansas City,MO
"St. Louis, MO",38.627,-90.1994,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,St. Louis,MO
"Tulsa, OK",36.154,-95.9928,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Tulsa,OK
"Oklahoma City, OK",35.4676,-97.5164,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Oklahoma City,OK
"Stratford, TX",36.3361,-102.0721,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Stratford,TX
"Houston, TX",29.7604,-95.3698,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Houston,TX
"Birmingham, AL",33.5186,-86.8025,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Birmingham,AL
"Billingsley, AL",32.6601,-86.7114,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Billingsley,AL
"Memphis, TN",35.1495,-90.049,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Memphis,TN
"Chicago, IL",41.8781,-87.6298,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Chicago,IL
"Indianapolis, IN",39.7684,-86.1581,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Indianapolis,IN
"Nashville, TN",36.1627,-86.7816,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Nashville,TN
"Madison, WI",43.0731,-89.4012,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Madison,WI
"Milwaukee, WI",43.0389,-87.9065,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Milwaukee,WI
"Jacksonville, FL",30.3322,-81.6557,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Jacksonville,FL
"Tallahassee, FL",30.4383,-84.2807,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Tallahassee,FL
"Orlando, FL",28.5383,-81.3792,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Orlando,FL
"Miami, FL",25.7617,-80.1918,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Miami,FL
"Tampa, FL",27.9506,-82.4572,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Tampa,FL
"Fort Meyers, FL",26.6406,-81.8723,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Fort Meyers,FL
"Atlanta, GA",33.749,-84.388,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Atlanta,GA
"Augusta, GA",33.4735,-81.9748,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Augusta,GA
"Charlotte, NC",35.2271,-80.8431,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Charlotte,NC
"Richmond, VA",37.5407,-77.436,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Richmond,VA
"Norfolk, VA",36.8508,-76.2859,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Norfolk,VA
"Raleigh, NC",35.7796,-78.6382,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Raleigh,NC
"Cleveland, OH",41.4993,-81.6944,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Cleveland,OH
"Akron, OH",41.0814,-81.519,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Akron,OH
"Detroit, MI",42.3314,-83.0458,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Detroit,MI
"Toledo, OH",41.6528,-83.5552,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Toledo,OH
"Cincinnati, OH",39.1031,-84.512,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Cincinnati,OH
"Columbus, OH",39.9612,-82.9988,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Columbus,OH
"Buffalo, NY",42.8864,-78.8784,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Buffalo,NY
"Pittsburgh, PA",40.4406,-79.9959,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Pittsburgh,PA
"Albany, NY",42.6526,-73.7562,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Albany,NY
"Newark, NJ",40.7357,-74.1724,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Newark,NJ
"Dallas, TX",32.7767,-96.797,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Dallas,TX
"Wichita, KS",37.6872,-97.3301,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Wichita,KS
"Herndon, VA",38.9696,-77.3861,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Herndon,VA
"Cambridge, MA",42.3736,-71.1097,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Cambridge,MA
"Hayward, CA",37.6688,-122.0808,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Hayward,CA
"Emeryville, CA",37.8313,-122.2852,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Emeryville,CA
"Goodyear, AZ",33.4353,-112.3582,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Goodyear,AZ
