name,latitude,longitude,kind,shown_in_map,description,municipality,state,Justified as an aggregation point
Joint Base Anacostia-Bolling,38.8430,-77.0160,Military installation,Shown in map,District of Columbia,Washington,DC,yes
Davis-Monthan AFB,32.1665,-110.8830,Military installation,Shown in map,State: Arizona,Tucson,AZ,yes
Travis AFB,38.2627,-121.9270,Military installation,Shown in map,State: California,Fairfield,CA,yes
Beale AFB,39.1360,-121.4360,Military installation,Shown in map,State: California,Marysville,CA,yes
Creech AFB,36.5870,-115.6730,Military installation,Shown in map,State: Nevada,Indian Springs,NV,yes
Los Angeles AFB,33.9160,-118.3810,Military installation,Shown in map,State: California,El Segundo,CA,yes
Peterson SFB,38.8230,-104.7000,Military installation,Shown in map,State: Colorado,Colorado Springs,CO,yes
Schriever SFB,38.8030,-104.5260,Military installation,Shown in map,State: Colorado,Colorado Springs,CO,yes
Buckley SFB,39.7020,-104.7520,Military installation,Shown in map,State: Colorado,Aurora,CO,yes
United States Air Force Academy,38.9980,-104.8610,Military installation,Shown in map,State: Colorado,Colorado Springs,CO,yes
Cheyenne Mountain SFS,38.7440,-104.8460,Military installation,Shown in map,State: Colorado,Colorado Springs,CO,yes
Dover AFB,39.1290,-75.4660,Military installation,Shown in map,State: Delaware,Dover,DE,yes
MacDill AFB,27.8490,-82.5210,Military installation,Shown in map,State: Florida,Tampa,FL,yes
Patrick SFB,28.2350,-80.6100,Military installation,Shown in map,State: Florida,Cocoa Beach,FL,yes
Moody AFB,30.9670,-83.1930,Military installation,Shown in map,State: Georgia,Valdosta,GA,yes
Mountain Home AFB,43.0430,-115.8720,Military installation,Shown in map,State: Idaho,Mountain Home,ID,yes
Scott AFB,38.5450,-89.8350,Military installation,Shown in map,State: Illinois,Belleville,IL,yes
McConnell AFB,37.6210,-97.2670,Military installation,Shown in map,State: Kansas,Wichita,KS,yes
Whiteman AFB,38.7300,-93.5480,Military installation,Shown in map,State: Missouri,Knob Noster,MO,yes
Offutt AFB,41.1180,-95.9120,Military installation,Shown in map,State: Nebraska,Omaha,NE,yes
Holloman AFB,32.8520,-106.1060,Military installation,Shown in map,State: New Mexico,Alamogordo,NM,yes
Kirtland AFB,35.0500,-106.5590,Military installation,Shown in map,State: New Mexico,Albuquerque,NM,yes
Altus AFB,34.6670,-99.2670,Military installation,Shown in map,State: Oklahoma,Altus,OK,yes
Vance AFB,36.3390,-97.9160,Military installation,Shown in map,State: Oklahoma,Enid,OK,yes
Shaw AFB,33.9730,-80.4730,Military installation,Shown in map,State: South Carolina,Sumter,SC,yes
Joint Base Charleston,32.8990,-80.0410,Military installation,Shown in map,State: South Carolina,Charleston,SC,yes
Ellsworth AFB,44.1450,-103.1040,Military installation,Shown in map,State: South Dakota,Rapid City,SD,yes
Arnold AFB,35.3890,-86.0860,Military installation,Shown in map,State: Tennessee,Tullahoma,TN,yes
Dyess AFB,32.4280,-99.8540,Military installation,Shown in map,State: Texas,Abilene,TX,yes
Goodfellow AFB,31.4340,-100.4030,Military installation,Shown in map,State: Texas,San Angelo,TX,yes
Laughlin AFB,29.3590,-100.7780,Military installation,Shown in map,State: Texas,Del Rio,TX,yes
Sheppard AFB,33.9750,-98.4920,Military installation,Shown in map,State: Texas,Wichita Falls,TX,yes
Fairchild AFB,47.6150,-117.6560,Military installation,Shown in map,State: Washington,Spokane,WA,yes
Seymour Johnson AFB,35.3390,-77.9610,Military installation,Shown in map,State: North Carolina,Goldsboro,NC,yes
Grand Forks AFB,47.9610,-97.4010,Military installation,Shown in map,State: North Dakota,Grand Forks,ND,yes
Columbus AFB,33.6440,-88.4440,Military installation,Shown in map,State: Mississippi,Columbus,MS,yes
Keesler AFB,30.4120,-88.9240,Military installation,Shown in map,State: Mississippi,Biloxi,MS,yes
Little Rock AFB,34.9170,-92.1500,Military installation,Shown in map,State: Arkansas,Jacksonville,AR,yes
Clear Space Force Station,64.2900,-149.1900,Military installation,Shown in map,State: Alaska,Anderson,AK,yes
Cavalier Space Force Station,48.7240,-97.9000,Military installation,Shown in map,State: North Dakota,Cavalier,ND,yes
Marine Corps Base Camp Lejeune,34.6080,-77.3360,Military installation,Shown in map,State: North Carolina,Jacksonville,NC,yes
Marine Corps Base Camp Pendleton,33.3850,-117.4350,Military installation,Shown in map,State: California,Oceanside,CA,yes
Marine Corps Base Quantico,38.5220,-77.3050,Military installation,Shown in map,State: Virginia,Quantico,VA,yes
Marine Corps Air Ground Combat Center Twentynine Palms,34.2390,-116.0560,Military installation,Shown in map,State: California,Twentynine Palms,CA,yes
Marine Corps Recruit Depot Parris Island,32.3380,-80.6890,Military installation,Shown in map,State: South Carolina,Beaufort,SC,yes
Marine Corps Recruit Depot San Diego,32.7400,-117.2010,Military installation,Shown in map,State: California,San Diego,CA,yes
Marine Corps Base Hawaii,21.4500,-157.7680,Military installation,Shown in map,State: Hawaii,Kailua,HI,yes
Marine Corps Air Station New River,34.7080,-77.4400,Military installation,Shown in map,State: North Carolina,Jacksonville,NC,yes
Marine Corps Logistics Base Albany,31.5460,-84.0470,Military installation,Shown in map,State: Georgia,Albany,GA,yes
Marine Corps Logistics Base Barstow,34.8420,-117.0240,Military installation,Shown in map,State: California,Barstow,CA,yes
Eglin AFB,30.4832,-86.5254,Military installation,Shown in map,State: Florida,Valparaiso,FL,yes
Tyndall AFB,30.0696,-85.5754,Military installation,Shown in map,State: Florida,Panama City,FL,yes
Hurlburt Field,30.4279,-86.6889,Military installation,Shown in map,State: Florida,Mary Esther,FL,yes
Cape Canaveral Space Force Station,28.4889,-80.5778,Military installation,Shown in map,State: Florida,Cape Canaveral,FL,yes
Luke AFB,33.5350,-112.3830,Military installation,Shown in map,State: Arizona,Glendale,AZ,yes
Edwards AFB,34.9054,-117.8837,Military installation,Shown in map,State: California,Edwards,CA,yes
Nellis AFB,36.2362,-115.0343,Military installation,Shown in map,State: Nevada,Las Vegas,NV,yes
Naval Air Station Fallon,39.4166,-118.7003,Military installation,Shown in map,State: Nevada,Fallon,NV,yes
Naval Air Station Lemoore,36.3330,-119.9520,Military installation,Shown in map,State: California,Lemoore,CA,yes
Marine Corps Air Station Yuma,32.6566,-114.6060,Military installation,Shown in map,State: Arizona,Yuma,AZ,yes
Marine Corps Air Station Miramar,32.8671,-117.1418,Military installation,Shown in map,State: California,San Diego,CA,yes
Marine Corps Air Station Cherry Point,34.9009,-76.8807,Military installation,Shown in map,State: North Carolina,Havelock,NC,yes
Marine Corps Air Station Beaufort,32.4774,-80.7232,Military installation,Shown in map,State: South Carolina,Beaufort,SC,yes
Hill AFB,41.1240,-111.9731,Military installation,Shown in map,State: Utah,Layton,UT,yes
Eielson AFB,64.6657,-147.1015,Military installation,Shown in map,State: Alaska,Fairbanks,AK,yes
Cannon AFB,34.3828,-103.3222,Military installation,Shown in map,State: New Mexico,Clovis,NM,yes
Joint Base Andrews,38.8108,-76.8670,Military installation,Shown in map,State: Maryland,Camp Springs,MD,yes
Joint Base San Antonio,29.4595,-98.4360,Military installation,Shown in map,State: Texas,San Antonio,TX,yes
Maxwell AFB,32.3790,-86.3660,Military installation,Shown in map,State: Alabama,Montgomery,AL,yes
Redstone Arsenal,34.6856,-86.6486,Military installation,Shown in map,State: Alabama,Huntsville,AL,yes
Robins AFB,32.6400,-83.5919,Military installation,Shown in map,State: Georgia,Warner Robins,GA,yes
Tinker AFB,35.4147,-97.3866,Military installation,Shown in map,State: Oklahoma,Midwest City,OK,yes
Wright-Patterson AFB,39.8261,-84.0488,Military installation,Shown in map,State: Ohio,Dayton,OH,yes
Barksdale AFB,32.5018,-93.6627,Military installation,Shown in map,State: Louisiana,Bossier City,LA,yes
F.E. Warren AFB,41.1517,-104.8678,Military installation,Shown in map,State: Wyoming,Cheyenne,WY,yes
Hanscom AFB,42.4670,-71.2890,Military installation,Shown in map,State: Massachusetts,Bedford,MA,yes
Malmstrom AFB,47.5048,-111.1872,Military installation,Shown in map,State: Montana,Great Falls,MT,yes
Minot AFB,48.4159,-101.3306,Military installation,Shown in map,State: North Dakota,Minot,ND,yes
Vandenberg SFB,34.7420,-120.5724,Military installation,Shown in map,State: California,Lompoc,CA,yes
Burlington ANGB,44.4719,-73.1533,Military installation,Shown in map,State: Vermont,South Burlington,VT,yes
