name,latitude,longitude,kind,shown_in_map,description,municipality,state
"Uniti Sacramento, CA",38.5816,-121.4944,PoP,Not shown in map,Uniti Core Network PoP,Sacramento,CA
"Uniti Salt Lake City, UT",40.7608,-111.8910,PoP,Not shown in map,Uniti Core Network PoP,Salt Lake City,UT
"Uniti San Antonio, TX",29.4241,-98.4936,PoP,Not shown in map,Uniti Core Network PoP,San Antonio,TX
"Uniti San Diego, CA",32.7157,-117.1611,PoP,Not shown in map,Uniti Core Network PoP,San Diego,CA
"Uniti San Francisco, CA",37.7749,-122.4194,PoP,Not shown in map,Uniti Core Network PoP,San Francisco,CA
"Uniti San Jose, CA",37.3382,-121.8863,PoP,Not shown in map,Uniti Core Network PoP,San Jose,CA
"Uniti Savannah, GA",32.0809,-81.0912,PoP,Not shown in map,Uniti Core Network PoP,Savannah,GA
"Uniti Seattle, WA",47.6062,-122.3321,PoP,Not shown in map,Uniti Core Network PoP,Seattle,WA
"Uniti Shreveport, LA",32.5252,-93.7502,PoP,Not shown in map,Uniti Core Network PoP,Shreveport,LA
"Uniti St. Louis, MO",38.6270,-90.1994,PoP,Not shown in map,Uniti Core Network PoP,St. Louis,MO
"Uniti Tallahassee, FL",30.4383,-84.2807,PoP,Not shown in map,Uniti Core Network PoP,Tallahassee,FL
"Uniti Tampa, FL",27.9506,-82.4572,PoP,Not shown in map,Uniti Core Network PoP,Tampa,FL
"Uniti Temple, TX",31.0982,-97.3428,PoP,Not shown in map,Uniti Core Network PoP,Temple,TX
"Uniti Toledo, OH",41.6528,-83.5552,PoP,Not shown in map,Uniti Core Network PoP,Toledo,OH
"Uniti Tucson, AZ",32.2226,-110.9747,PoP,Not shown in map,Uniti Core Network PoP,Tucson,AZ
"Uniti Tulsa, OK",36.1540,-95.9928,PoP,Not shown in map,Uniti Core Network PoP,Tulsa,OK
"Uniti Twin Falls, ID",42.5630,-114.4609,PoP,Not shown in map,Uniti Core Network PoP,Twin Falls,ID
"Uniti Virginia Beach, VA",36.8529,-75.9780,PoP,Not shown in map,Uniti Core Network PoP,Virginia Beach,VA
"Uniti Wall, NJ",40.1654,-74.0665,PoP,Not shown in map,Uniti Core Network PoP,Wall,NJ
"Uniti Washington, DC",38.9072,-77.0369,PoP,Not shown in map,Uniti Core Network PoP,Washington,DC
"Uniti Wichita Falls, TX",33.9137,-98.4934,PoP,Not shown in map,Uniti Core Network PoP,Wichita Falls,TX
