name,category,lat,lon,description
"Omaha, NE",Carrier 400G PoPs,41.2565,-95.9345,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Kansas City, MO",Carrier 400G PoPs,39.0997,-94.5786,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"St. Louis, MO",Carrier 400G PoPs,38.627,-90.1994,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tulsa, OK",Carrier 400G PoPs,36.154,-95.9928,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Oklahoma City, OK",Carrier 400G PoPs,35.4676,-97.5164,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Stratford, TX",Carrier 400G PoPs,36.3361,-102.0721,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Houston, TX",Carrier 400G PoPs,29.7604,-95.3698,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Birmingham, AL",Carrier 400G PoPs,33.5186,-86.8025,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Billingsley, AL",Carrier 400G PoPs,32.6601,-86.7114,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Memphis, TN",Carrier 400G PoPs,35.1495,-90.049,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Chicago, IL",Carrier 400G PoPs,41.8781,-87.6298,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Indianapolis, IN",Carrier 400G PoPs,39.7684,-86.1581,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Nashville, TN",Carrier 400G PoPs,36.1627,-86.7816,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Madison, WI",Carrier 400G PoPs,43.0731,-89.4012,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Milwaukee, WI",Carrier 400G PoPs,43.0389,-87.9065,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Jacksonville, FL",Carrier 400G PoPs,30.3322,-81.6557,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tallahassee, FL",Carrier 400G PoPs,30.4383,-84.2807,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Orlando, FL",Carrier 400G PoPs,28.5383,-81.3792,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Miami, FL",Carrier 400G PoPs,25.7617,-80.1918,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tampa, FL",Carrier 400G PoPs,27.9506,-82.4572,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Fort Meyers, FL",Carrier 400G PoPs,26.6406,-81.8723,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Atlanta, GA",Carrier 400G PoPs,33.749,-84.388,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Augusta, GA",Carrier 400G PoPs,33.4735,-81.9748,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Charlotte, NC",Carrier 400G PoPs,35.2271,-80.8431,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Richmond, VA",Carrier 400G PoPs,37.5407,-77.436,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Norfolk, VA",Carrier 400G PoPs,36.8508,-76.2859,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Raleigh, NC",Carrier 400G PoPs,35.7796,-78.6382,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Cleveland, OH",Carrier 400G PoPs,41.4993,-81.6944,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Akron, OH",Carrier 400G PoPs,41.0814,-81.519,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Detroit, MI",Carrier 400G PoPs,42.3314,-83.0458,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Toledo, OH",Carrier 400G PoPs,41.6528,-83.5552,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Cincinnati, OH",Carrier 400G PoPs,39.1031,-84.512,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Columbus, OH",Carrier 400G PoPs,39.9612,-82.9988,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Buffalo, NY",Carrier 400G PoPs,42.8864,-78.8784,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Pittsburgh, PA",Carrier 400G PoPs,40.4406,-79.9959,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Albany, NY",Carrier 400G PoPs,42.6526,-73.7562,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Newark, NJ",Carrier 400G PoPs,40.7357,-74.1724,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Dallas, TX",Carrier 400G PoPs,32.7767,-96.797,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Wichita, KS",Carrier 400G PoPs,37.6872,-97.3301,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Herndon, VA",Carrier 400G PoPs,38.9696,-77.3861,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Cambridge, MA",Carrier 400G PoPs,42.3736,-71.1097,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Hayward, CA",Carrier 400G PoPs,37.6688,-122.0808,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Emeryville, CA",Carrier 400G PoPs,37.8313,-122.2852,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Goodyear, AZ",Carrier 400G PoPs,33.4353,-112.3582,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
provider region,provider regions,45.8396,-119.7006,"Region: provider region
Location: Boardman, OR"
provider region,provider regions,39.9612,-82.9988,"Region: provider region
Location: Columbus, OH"
provider region,provider regions,38.9696,-77.3861,"Region: provider region
Location: Herndon, VA"
provider region,provider regions,39.7392,-104.9903,"Region: provider region
Location: Denver, CO"
"Norfolk, VA",Additional CONUS Installations,36.8508,-76.2859,State: Virginia
Cannon AFB,Additional CONUS Installations,34.3828,-103.3222,State: New Mexico
Corpus Christi Army Depot,Additional CONUS Installations,27.6936,-97.2911,State: Texas
Hurlburt Field,Additional CONUS Installations,30.4279,-86.6889,State: Florida
Joint Base Andrews,Additional CONUS Installations,38.8108,-76.867,State: Maryland
Joint Base San Antonio,Additional CONUS Installations,29.4595,-98.436,State: Texas
Maxwell AFB,Additional CONUS Installations,32.379,-86.366,State: Alabama
Redstone Arsenal,Additional CONUS Installations,34.6856,-86.6486,State: Alabama
Robins AFB,Additional CONUS Installations,32.64,-83.5919,State: Georgia
Tinker AFB,Additional CONUS Installations,35.4147,-97.3866,State: Oklahoma
Wright-Patterson AFB,Additional CONUS Installations,39.8261,-84.0488,State: Ohio
