Municipality,State,Latitude,Longitude
Salt Lake City,UT,40.7608,-111.8910
San Angelo,TX,31.4638,-100.4370
San Antonio,TX,29.4241,-98.4936
San Diego,CA,32.7157,-117.1611
San Francisco,CA,37.7749,-122.4194
San Jose,CA,37.3382,-121.8863
Santa Barbara,CA,34.4208,-119.6982
Santa Clara,CA,37.3541,-121.9552
Seattle,WA,47.6062,-122.3321
Secaucus,NJ,40.7895,-74.0565
Shedd,OR,44.4534,-123.1084
Shoshone,ID,42.9357,-114.4060
Silver Plume,CO,39.6938,-105.7278
Sioux City,IA,42.4999,-96.4003
Smyrna,GA,33.8840,-84.5144
Somerset,NJ,40.4976,-74.4884
South Bend,IN,41.6764,-86.2500
Southfield,MI,42.4734,-83.2219
Spokane,WA,47.6588,-117.4260
Spring,TX,30.0799,-95.4172
Springville,UT,40.1652,-111.6108
St. George,UT,37.0965,-113.5684
St. Louis,MO,38.6270,-90.1994
Stamford,CT,41.0534,-73.5387
Staten Island,NY,40.5795,-74.1502
Tacoma,WA,47.2529,-122.4443
Tallahassee,FL,30.4383,-84.2807
Tampa,FL,27.9506,-82.4572
Temple,TX,31.0982,-97.3428
Trumbull,CT,41.2426,-73.2007
Tuckerton,NJ,39.6032,-74.3402
Tucson,AZ,32.2226,-110.9747
Tukwila,WA,47.4639,-122.2590
Tulare,CA,36.2077,-119.3473
Tulsa,OK,36.1540,-95.9928
Umatilla,OR,45.9171,-119.3422
Valparaiso,IN,41.4731,-87.0611
Virginia Beach,VA,36.8529,-75.9780
Waco,TX,31.5493,-97.1467
Wall,NJ,40.1654,-74.0665
Washington,DC,38.9072,-77.0369
Weehawken,NJ,40.7695,-74.0204
Wenatchee,WA,47.4235,-120.3103
West Jordan,UT,40.6097,-111.9391
Wichita,KS,37.6872,-97.3301
Wichita Falls,TX,33.9137,-98.4934
Wills Point,TX,32.7099,-96.0086
Wilmington,DE,39.7459,-75.5466
Windom,MN,43.8655,-95.1169
Woodbridge,NJ,40.5576,-74.2846
Yakima,WA,46.6021,-120.5059
Youngstown,OH,41.0998,-80.6495
